338:2025-11-03 08:25:44.090 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
364:2025-11-03 08:25:44.130 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
611:2025-11-03 08:25:44.650 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
856:2025-11-03 08:25:44.666 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
1056:2025-11-03 08:25:44.696 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
1082:2025-11-03 08:25:44.713 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
1282:2025-11-03 08:25:44.741 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
1308:2025-11-03 08:25:44.757 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
1508:2025-11-03 08:25:44.786 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
1534:2025-11-03 08:25:44.802 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
1734:2025-11-03 08:25:44.831 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
1928:2025-11-03 08:25:44.848 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
2128:2025-11-03 08:25:44.879 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
2154:2025-11-03 08:25:44.895 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
2354:2025-11-03 08:25:44.927 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
2380:2025-11-03 08:25:44.944 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
2580:2025-11-03 08:25:44.975 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
2783:2025-11-03 08:25:44.991 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
2983:2025-11-03 08:25:45.019 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
3009:2025-11-03 08:25:45.035 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
3209:2025-11-03 08:25:45.167 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
3235:2025-11-03 08:25:45.186 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
3458:2025-11-03 08:25:45.597 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
3484:2025-11-03 08:25:45.613 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
3684:2025-11-03 08:25:45.645 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
3877:2025-11-03 08:25:45.663 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
4077:2025-11-03 08:25:45.695 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
4103:2025-11-03 08:25:45.713 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
4303:2025-11-03 08:25:45.741 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
4329:2025-11-03 08:25:45.757 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
4529:2025-11-03 08:25:45.787 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
4733:2025-11-03 08:25:45.804 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
4933:2025-11-03 08:25:45.833 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
4959:2025-11-03 08:25:45.849 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
5159:2025-11-03 08:25:45.880 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
5185:2025-11-03 08:25:45.897 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
5385:2025-11-03 08:25:45.926 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
5411:2025-11-03 08:25:45.942 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
5611:2025-11-03 08:25:45.970 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
5804:2025-11-03 08:25:45.986 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
6004:2025-11-03 08:25:46.113 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
6030:2025-11-03 08:25:46.129 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
6253:2025-11-03 08:25:46.509 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
6279:2025-11-03 08:25:46.525 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
6479:2025-11-03 08:25:46.556 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
6682:2025-11-03 08:25:46.571 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
6882:2025-11-03 08:25:46.598 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
6908:2025-11-03 08:25:46.615 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
7108:2025-11-03 08:25:46.643 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
7134:2025-11-03 08:25:46.658 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
7334:2025-11-03 08:25:46.686 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
7360:2025-11-03 08:25:46.701 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
7728:2025-11-03 08:25:46.728 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
7754:2025-11-03 08:25:46.743 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
7954:2025-11-03 08:25:46.769 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
7980:2025-11-03 08:25:46.784 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
8180:2025-11-03 08:25:46.815 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
8206:2025-11-03 08:25:46.830 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
8406:2025-11-03 08:25:46.858 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
8601:2025-11-03 08:25:46.873 | INFO     | src.hold.hold:training_step:1308 - [Forward] Model returned 30 keys
8801:2025-11-03 08:25:46.997 | INFO     | src.hold.hold:training_step:1306 - [Forward] Calling self.model(batch)...
