timestamp,nvidia_used_mb,nvidia_free_mb,nvidia_total_mb,pytorch_allocated_mb,pytorch_reserved_mb,pytorch_cache_mb,discrepancy_mb
2025-10-24 19:00:43,15,24097,24564,-1.0,-1.0,-1.0,16.0
2025-10-24 19:00:48,1339,22773,24564,-1.0,-1.0,-1.0,1340.0
2025-10-24 19:00:53,2111,22001,24564,-1.0,-1.0,-1.0,2112.0
2025-10-24 19:00:58,2407,21705,24564,-1.0,-1.0,-1.0,2408.0
2025-10-24 19:01:03,2757,21355,24564,-1.0,-1.0,-1.0,2758.0
2025-10-24 19:01:08,3083,21029,24564,-1.0,-1.0,-1.0,3084.0
2025-10-24 19:01:13,3407,20705,24564,-1.0,-1.0,-1.0,3408.0
2025-10-24 19:01:18,3727,20385,24564,-1.0,-1.0,-1.0,3728.0
2025-10-24 19:01:23,4045,20067,24564,-1.0,-1.0,-1.0,4046.0
2025-10-24 19:01:28,4353,19759,24564,-1.0,-1.0,-1.0,4354.0
2025-10-24 19:01:33,4687,19425,24564,-1.0,-1.0,-1.0,4688.0
2025-10-24 19:01:38,5041,19071,24564,-1.0,-1.0,-1.0,5042.0
2025-10-24 19:01:43,5319,18793,24564,-1.0,-1.0,-1.0,5320.0
2025-10-24 19:01:48,5661,18451,24564,-1.0,-1.0,-1.0,5662.0
2025-10-24 19:01:53,5993,18119,24564,-1.0,-1.0,-1.0,5994.0
2025-10-24 19:01:58,6359,17753,24564,-1.0,-1.0,-1.0,6360.0
2025-10-24 19:02:03,6661,17451,24564,-1.0,-1.0,-1.0,6662.0
2025-10-24 19:02:08,6993,17119,24564,-1.0,-1.0,-1.0,6994.0
2025-10-24 19:02:13,7309,16803,24564,-1.0,-1.0,-1.0,7310.0
2025-10-24 19:02:18,7683,16429,24564,-1.0,-1.0,-1.0,7684.0
2025-10-24 19:02:23,7985,16127,24564,-1.0,-1.0,-1.0,7986.0
2025-10-24 19:02:28,8309,15803,24564,-1.0,-1.0,-1.0,8310.0
2025-10-24 19:02:33,8655,15457,24564,-1.0,-1.0,-1.0,8656.0
2025-10-24 19:02:38,9017,15095,24564,-1.0,-1.0,-1.0,9018.0
2025-10-24 19:02:43,9317,14795,24564,-1.0,-1.0,-1.0,9318.0
2025-10-24 19:02:48,9643,14469,24564,-1.0,-1.0,-1.0,9644.0
2025-10-24 19:02:53,9983,14129,24564,-1.0,-1.0,-1.0,9984.0
2025-10-24 19:02:58,10341,13771,24564,-1.0,-1.0,-1.0,10342.0
2025-10-24 19:03:03,10649,13463,24564,-1.0,-1.0,-1.0,10650.0
2025-10-24 19:03:08,11133,12979,24564,-1.0,-1.0,-1.0,11134.0
2025-10-24 19:03:13,12007,12105,24564,-1.0,-1.0,-1.0,12008.0
2025-10-24 19:03:18,12829,11283,24564,-1.0,-1.0,-1.0,12830.0
2025-10-24 19:03:23,13559,10553,24564,-1.0,-1.0,-1.0,13560.0
2025-10-24 19:03:28,14493,9619,24564,-1.0,-1.0,-1.0,14494.0
2025-10-24 19:03:33,15299,8813,24564,-1.0,-1.0,-1.0,15300.0
2025-10-24 19:03:38,16175,7937,24564,-1.0,-1.0,-1.0,16176.0
2025-10-24 19:03:43,17053,7059,24564,-1.0,-1.0,-1.0,17054.0
2025-10-24 19:03:48,17757,6355,24564,-1.0,-1.0,-1.0,17758.0
2025-10-24 19:03:53,18703,5409,24564,-1.0,-1.0,-1.0,18704.0
2025-10-24 19:03:58,19467,4645,24564,-1.0,-1.0,-1.0,19468.0
2025-10-24 19:04:03,20329,3783,24564,-1.0,-1.0,-1.0,20330.0
2025-10-24 19:04:08,21207,2905,24564,-1.0,-1.0,-1.0,21208.0
2025-10-24 19:04:13,21931,2181,24564,-1.0,-1.0,-1.0,21932.0
2025-10-24 19:04:18,22799,1313,24564,-1.0,-1.0,-1.0,22800.0
2025-10-24 19:04:23,23665,447,24564,-1.0,-1.0,-1.0,23666.0
