(base) fredcui@hahayun:~/Projects/holdse/code$ tail -f logs/full_training_hold_bottle2_itw_stage1_50to150_*.log | grep --line-buffered "Avg loss"
2025-11-12 22:44:42.120 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 0] Avg loss: 0.537823
2025-11-12 22:49:14.532 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 1] Avg loss: 0.512407
2025-11-12 22:53:47.121 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 2] Avg loss: 0.502503
2025-11-12 22:58:19.546 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 3] Avg loss: 0.498136
2025-11-12 23:04:07.656 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 4] Avg loss: 0.495144
2025-11-12 23:09:54.656 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 5] Avg loss: 0.494176
2025-11-12 23:15:41.544 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 6] Avg loss: 0.499239
2025-11-12 23:21:28.481 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 7] Avg loss: 0.494242
2025-11-12 23:27:14.534 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 8] Avg loss: 0.496834
2025-11-12 23:33:00.389 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 9] Avg loss: 0.489766
2025-11-12 23:38:45.090 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 10] Avg loss: 0.496552
2025-11-12 23:44:28.246 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 11] Avg loss: 0.490380
2025-11-12 23:50:11.053 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 12] Avg loss: 0.492502
2025-11-12 23:55:52.930 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 13] Avg loss: 0.492825
2025-11-13 00:01:33.955 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 14] Avg loss: 0.489511
2025-11-13 00:07:15.046 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 15] Avg loss: 0.483836
2025-11-13 00:12:55.585 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 16] Avg loss: 0.480910
2025-11-13 00:18:34.779 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 17] Avg loss: 0.481941
2025-11-13 00:24:14.881 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 18] Avg loss: 0.479211
2025-11-13 00:29:54.637 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 19] Avg loss: 0.479148
2025-11-13 00:35:33.000 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 20] Avg loss: 0.477968
2025-11-13 00:41:11.533 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 21] Avg loss: 0.474655
2025-11-13 00:46:54.829 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 22] Avg loss: 0.472397
2025-11-13 00:52:37.042 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 23] Avg loss: 0.469242
2025-11-13 00:58:18.841 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 24] Avg loss: 0.465075
2025-11-13 01:04:02.705 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 25] Avg loss: 0.462485
2025-11-13 01:09:45.250 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 26] Avg loss: 0.460228
2025-11-13 01:15:27.761 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 27] Avg loss: 0.454889
2025-11-13 01:21:10.203 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 28] Avg loss: 0.456503
2025-11-13 01:26:51.348 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 29] Avg loss: 0.446411
2025-11-13 01:32:33.059 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 30] Avg loss: 0.444778
2025-11-13 01:38:15.797 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 31] Avg loss: 0.441082
2025-11-13 01:43:57.411 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 32] Avg loss: 0.433708
2025-11-13 01:49:38.242 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 33] Avg loss: 0.428767
2025-11-13 01:55:21.530 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 34] Avg loss: 0.424847
2025-11-13 02:01:03.543 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 35] Avg loss: 0.418568
2025-11-13 02:06:45.772 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 36] Avg loss: 0.413500
2025-11-13 02:12:30.251 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 37] Avg loss: 0.406812
2025-11-13 02:18:13.102 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 38] Avg loss: 0.399743
2025-11-13 02:23:55.617 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 39] Avg loss: 0.393071
2025-11-13 02:29:39.197 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 40] Avg loss: 0.384224
2025-11-13 02:35:22.189 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 41] Avg loss: 0.380254
2025-11-13 02:41:05.061 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 42] Avg loss: 0.371199
2025-11-13 02:46:47.386 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 43] Avg loss: 0.362899
2025-11-13 02:52:28.062 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 44] Avg loss: 0.352994
2025-11-13 02:58:08.851 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 45] Avg loss: 0.344652
2025-11-13 03:03:52.304 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 46] Avg loss: 0.334775
2025-11-13 03:09:35.071 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 47] Avg loss: 0.324543
2025-11-13 03:15:17.984 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 48] Avg loss: 0.314520
2025-11-13 03:21:01.788 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 49] Avg loss: 0.303277
2025-11-13 03:26:44.788 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 50] Avg loss: 0.295064
2025-11-13 03:32:28.504 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 51] Avg loss: 0.284433
2025-11-13 03:38:13.011 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 52] Avg loss: 0.274152
2025-11-13 03:43:56.375 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 53] Avg loss: 0.263997
2025-11-13 03:49:38.988 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 54] Avg loss: 0.252125
2025-11-13 03:55:24.475 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 55] Avg loss: 0.243149
2025-11-13 04:01:07.958 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 56] Avg loss: 0.232275
2025-11-13 04:06:52.391 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 57] Avg loss: 0.223989
2025-11-13 04:12:36.351 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 58] Avg loss: 0.213895
2025-11-13 04:18:19.108 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 59] Avg loss: 0.202988
2025-11-13 04:24:02.422 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 60] Avg loss: 0.197389
2025-11-13 04:29:47.500 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 61] Avg loss: 0.196979
2025-11-13 04:35:32.268 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 62] Avg loss: 0.196191
2025-11-13 04:41:16.784 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 63] Avg loss: 0.196981
2025-11-13 04:47:01.965 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 64] Avg loss: 0.196265
2025-11-13 04:52:46.525 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 65] Avg loss: 0.196190
2025-11-13 04:58:31.456 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 66] Avg loss: 0.194713
2025-11-13 05:04:15.216 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 67] Avg loss: 0.195602
2025-11-13 05:09:58.790 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 68] Avg loss: 0.194386
2025-11-13 05:15:42.384 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 69] Avg loss: 0.194095
2025-11-13 05:21:26.816 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 70] Avg loss: 0.194257
