timestamp,elapsed_seconds,memory_mb,growth_mb
2025-10-21 08:32:52,0,15,0
2025-10-21 08:33:22,30,4809,4794
2025-10-21 08:33:52,60,7677,7662
2025-10-21 08:34:22,90,11009,10994
2025-10-21 08:34:52,120,14357,14342
2025-10-21 08:35:22,150,18103,18088
2025-10-21 08:35:52,180,22135,22120
2025-10-21 08:36:22,210,24109,24094
2025-10-21 08:36:52,240,24109,24094
2025-10-21 08:37:22,270,24109,24094
2025-10-21 08:37:52,300,24109,24094
2025-10-21 08:38:22,330,24109,24094
2025-10-21 08:38:52,360,24109,24094
2025-10-21 08:39:22,390,24109,24094
2025-10-21 08:39:52,420,24109,24094
2025-10-21 08:40:22,450,24109,24094
2025-10-21 08:40:52,480,24109,24094
2025-10-21 08:41:22,510,24109,24094
2025-10-21 08:41:52,540,24109,24094
2025-10-21 08:42:22,570,24109,24094
2025-10-21 08:42:52,600,24109,24094
2025-10-21 08:43:22,630,24109,24094
2025-10-21 08:43:52,660,24109,24094
2025-10-21 08:44:22,690,24109,24094
2025-10-21 08:44:52,720,24109,24094
2025-10-21 08:45:22,750,24109,24094
2025-10-21 08:45:52,780,24109,24094
2025-10-21 08:46:22,810,24109,24094
2025-10-21 08:46:52,840,24109,24094
2025-10-21 08:47:22,870,24109,24094
