timestamp,elapsed_seconds,memory_mb,growth_mb
2025-10-21 12:31:22,0,15,0
2025-10-21 12:31:52,30,4931,4916
2025-10-21 12:32:22,60,7815,7800
2025-10-21 12:32:52,90,10863,10848
2025-10-21 12:33:22,120,13927,13912
2025-10-21 12:33:52,150,17019,17004
2025-10-21 12:34:22,180,20071,20056
2025-10-21 12:34:52,210,23329,23314
2025-10-21 12:35:22,240,24109,24094
2025-10-21 12:35:52,270,24109,24094
2025-10-21 12:36:22,300,24109,24094
2025-10-21 12:36:52,330,24109,24094
2025-10-21 12:37:22,360,24109,24094
2025-10-21 12:37:52,390,24109,24094
2025-10-21 12:38:22,420,24109,24094
2025-10-21 12:38:52,450,24109,24094
2025-10-21 12:39:22,480,24109,24094
2025-10-21 12:39:52,510,24109,24094
2025-10-21 12:40:22,540,24109,24094
2025-10-21 12:40:53,570,24109,24094
2025-10-21 12:41:23,601,24109,24094
2025-10-21 12:41:53,631,24109,24094
2025-10-21 12:42:23,661,24109,24094
2025-10-21 12:42:53,691,24109,24094
2025-10-21 12:43:23,721,24109,24094
2025-10-21 12:43:53,751,24109,24094
2025-10-21 12:44:23,781,24109,24094
2025-10-21 12:44:53,811,24109,24094
2025-10-21 12:45:23,841,24109,24094
2025-10-21 12:45:53,871,24109,24094
